Player,Season,Team,Offensive Archetype,Minutes,Pos,Age,SPI,O-SPI,D-SPI,WAR,Value Added
Nikola Jokic,2022-23,DEN,Post Scorer,2323,C,28,7.31,5.55,1.76,13.8,45639291
Giannis Antetokounmpo,2022-23,MIL,Shot Creator,2024,PF,28,5.87,4.73,1.14,10.4,34904325
Joel Embiid,2022-23,PHI,Shot Creator,2284,C,29,5.86,3.78,2.08,11.7,39133842
Jimmy Butler,2022-23,MIA,Shot Creator,2138,SF,33,5.01,4.27,0.74,9.9,33412331
Anthony Davis,2022-23,LAL,Shot Creator,1905,C,30,4.9,2.21,2.69,8.7,29559660
Jaren Jackson Jr.,2022-23,MEM,Versatile Big,1787,C,23,4.52,1.11,3.41,7.8,26572002
Jayson Tatum,2022-23,BOS,Shot Creator,2732,PF,25,4.42,4.29,0.13,11.7,39213864
Donovan Mitchell,2022-23,CLE,Primary Ball Handler,2432,SG,26,4.31,3.58,0.73,10.3,34566180
Luka Doncic,2022-23,DAL,Shot Creator,2391,PG,24,4.22,5.03,-0.81,10.0,33616296
LeBron James,2022-23,LAL,Shot Creator,1954,PF,38,4.11,3.86,0.25,8.0,27349265
Kawhi Leonard,2022-23,LAC,Shot Creator,1748,SF,31,4.05,3.01,1.04,7.1,24455546
Nic Claxton,2022-23,BRK,Roll + Cut Big,2271,C,23,3.85,0.64,3.21,9.0,30383900
Ja Morant,2022-23,MEM,Slasher,1948,PG,23,3.81,3.73,0.09,7.7,26188352
Shai Gilgeous-Alexander,2022-23,OKC,Shot Creator,2416,PG,24,3.79,3.58,0.21,9.5,31923862
Damian Lillard,2022-23,POR,Shot Creator,2107,PG,32,3.73,5.99,-2.26,8.2,27841251
James Harden,2022-23,PHI,Shot Creator,2135,PG,33,3.59,3.45,0.14,8.1,27608553
Stephen Curry,2022-23,GSW,Primary Ball Handler,1941,PG,35,3.59,4.06,-0.47,7.4,25257985
Jrue Holiday,2022-23,MIL,Primary Ball Handler,2183,PG,32,3.47,1.88,1.58,8.1,27668830
Kevin Durant,2022-23,PHO,Shot Creator,1672,SF,34,3.38,2.65,0.73,6.1,21302728
Fred VanVleet,2022-23,TOR,Primary Ball Handler,2535,PG,29,3.25,2.98,0.26,9.1,30751500
Tyrese Haliburton,2022-23,IND,Primary Ball Handler,1883,PG,23,3.22,3.49,-0.26,6.7,23205563
Paul George,2022-23,LAC,Shot Creator,1939,SG,32,3.15,2.14,1.02,6.8,23565909
Domantas Sabonis,2022-23,SAC,Roll + Cut Big,2736,C,26,3.14,2.34,0.8,9.6,32498087
Darius Garland,2022-23,CLE,Primary Ball Handler,2447,PG,23,3.12,2.91,0.21,8.6,29140862
Walker Kessler,2022-23,UTA,Roll + Cut Big,1703,C,21,3.1,0.03,3.07,6.0,20736513
Devin Booker,2022-23,PHO,Shot Creator,1835,SG,26,3.1,3.7,-0.6,6.4,22200404
Kristaps Porzingis,2022-23,WAS,Versatile Big,2120,C,27,3.05,1.85,1.2,7.4,25189843
Clint Capela,2022-23,ATL,Roll + Cut Big,1730,C,28,3.0,1.27,1.73,5.9,20688984
Brook Lopez,2022-23,MIL,Stretch Big,2373,C,35,2.81,-0.46,3.26,7.9,26834754
Chris Paul,2022-23,PHO,Primary Ball Handler,1889,PG,37,2.61,1.49,1.12,6.0,20989352
Kyrie Irving,2022-23,DAL,Shot Creator,2240,PG,31,2.52,3.17,-0.65,7.0,24174056
Lauri Markkanen,2022-23,UTA,Stretch Big,2273,SF,25,2.51,2.7,-0.19,7.1,24455268
Evan Mobley,2022-23,CLE,Roll + Cut Big,2715,PF,21,2.51,-0.58,3.08,8.5,28855690
Aaron Gordon,2022-23,DEN,Shot Creator,2055,PF,27,2.47,1.76,0.71,6.4,22092574
Pascal Siakam,2022-23,TOR,Shot Creator,2652,C,29,2.43,2.08,0.35,8.2,27807870
Zion Williamson,2022-23,NOP,Shot Creator,956,PF,22,2.42,2.13,0.29,2.9,11110014
Derrick White,2022-23,BOS,Stationary Shooter,2319,SG,28,2.41,0.82,1.58,7.1,24429963
DeMar DeRozan,2022-23,CHI,Shot Creator,2682,SF,33,2.4,1.81,0.59,8.2,27967223
Julius Randle,2022-23,NYK,Shot Creator,2737,PF,28,2.33,3.21,-0.89,8.3,28078922
Jarrett Allen,2022-23,CLE,Roll + Cut Big,2220,C,24,2.2,0.04,2.17,6.5,22556735
Draymond Green,2022-23,GSW,Roll + Cut Big,2297,PF,33,2.17,-0.89,3.07,6.7,23151442
Immanuel Quickley,2022-23,NYK,Primary Ball Handler,2344,PG,23,2.11,1.9,0.21,6.8,23295632
Myles Turner,2022-23,IND,Stretch Big,1825,C,27,2.09,0.12,1.98,5.2,18443703
Trae Young,2022-23,ATL,Primary Ball Handler,2541,PG,24,2.09,3.99,-1.9,7.3,24977451
De'Aaron Fox,2022-23,SAC,Slasher,2435,PG,25,2.08,2.96,-0.88,7.0,23985049
Alex Caruso,2022-23,CHI,Stationary Shooter,1575,PG,29,2.08,-0.89,2.97,4.5,16105024
Steven Adams,2022-23,MEM,Roll + Cut Big,1133,C,29,2.01,0.14,1.87,3.2,11923547
Desmond Bane,2022-23,MEM,Secondary Ball Handler,1842,SG,24,1.97,1.76,0.22,5.1,18156334
Jalen Brunson,2022-23,NYK,Shot Creator,2379,PG,26,1.89,3.12,-1.23,6.5,22546597
Robert Williams III,2022-23,,Roll + Cut Big,824,C,25,1.85,-0.21,2.06,2.2,8865094
Kevon Looney,2022-23,GSW,Roll + Cut Big,1958,C,27,1.68,0.33,1.35,5.1,18032213
Nikola Vucevic,2022-23,CHI,Versatile Big,2746,C,32,1.67,0.61,1.07,7.2,24571447
Josh Hart,2022-23,POR,Stationary Shooter,2454,SG,28,1.67,0.09,1.57,6.4,22112318
Jakob Poeltl,2022-23,SAS,Roll + Cut Big,1906,C,27,1.59,-0.53,2.12,4.9,17264407
Bam Adebayo,2022-23,MIA,Shot Creator,2598,C,25,1.54,0.07,1.46,6.5,22621608
Chris Boucher,2022-23,TOR,Stretch Big,1523,PF,30,1.53,0.94,0.59,3.8,13950898
Andre Drummond,2022-23,CHI,Roll + Cut Big,849,C,29,1.52,-0.58,2.1,2.1,8523126
Spencer Dinwiddie,2022-23,DAL,Shot Creator,2725,PG,30,1.49,1.76,-0.28,6.8,23374714
Cameron Johnson,2022-23,BRK,Stationary Shooter,1200,PF,27,1.46,0.95,0.51,3.0,11178023
Alperen Sengun,2022-23,HOU,Post Scorer,2171,C,20,1.43,0.8,0.64,5.3,18737965
Bradley Beal,2022-23,WAS,Shot Creator,1673,SG,29,1.43,2.03,-0.6,4.1,14812889
Khris Middleton,2022-23,MIL,Shot Creator,801,SF,31,1.4,1.41,-0.01,2.0,7947405
Isaiah Hartenstein,2022-23,NYK,Roll + Cut Big,1628,C,24,1.39,-0.57,1.96,4.0,14346333
LaMelo Ball,2022-23,CHO,Primary Ball Handler,1268,PG,21,1.37,2.19,-0.82,3.1,11486691
Scottie Barnes,2022-23,TOR,Shot Creator,2678,PF,21,1.33,0.26,1.07,6.4,22142914
Karl-Anthony Towns,2022-23,MIN,Stretch Big,957,PF,27,1.31,0.66,0.65,2.3,8984966
Delon Wright,2022-23,WAS,Secondary Ball Handler,1221,PG,30,1.3,0.43,0.87,2.9,10970237
Kyle Anderson,2022-23,MIN,Slasher,1957,PF,29,1.29,-0.32,1.61,4.6,16493827
Wendell Carter Jr.,2022-23,ORL,Stretch Big,1690,C,23,1.26,-0.03,1.3,4.0,14375702
Larry Nance Jr.,2022-23,NOP,Roll + Cut Big,1381,PF,30,1.25,-0.74,2.0,3.2,12040458
Goga Bitadze,2022-23,IND,Roll + Cut Big,457,C,23,1.25,-0.18,1.43,1.1,5128194
Kevin Huerter,2022-23,SAC,Movement Shooter,2203,SG,24,1.24,1.88,-0.64,5.1,18098098
Mitchell Robinson,2022-23,NYK,Roll + Cut Big,1589,C,25,1.2,-0.79,2.0,3.7,13428706
Franz Wagner,2022-23,ORL,Secondary Ball Handler,2609,SF,21,1.15,0.72,0.42,5.9,20652448
Monte Morris,2022-23,WAS,Primary Ball Handler,1696,PG,27,1.1,1.27,-0.17,3.8,13867949
Bruno Fernando,2022-23,ATL,Roll + Cut Big,405,C,24,1.08,-1.12,2.2,0.9,4604217
Moses Brown,2022-23,BRK,Roll + Cut Big,294,C,23,1.08,0.48,0.6,0.7,3812068
Rudy Gobert,2022-23,MIN,Roll + Cut Big,2149,C,30,1.01,-0.89,1.9,4.7,16697113
John Konchar,2022-23,MEM,Stationary Shooter,1494,SG,27,1.0,-0.52,1.51,3.3,12101937
Anthony Edwards,2022-23,MIN,Shot Creator,2842,SG,21,0.98,0.84,0.14,6.2,21381183
Paul Reed,2022-23,PHI,Roll + Cut Big,755,C,23,0.93,-0.79,1.72,1.6,6869335
Kyle Lowry,2022-23,MIA,Movement Shooter,1718,PG,37,0.91,0.08,0.83,3.6,13340821
Marcus Smart,2022-23,BOS,Stationary Shooter,1957,PG,29,0.9,-0.01,0.91,4.1,14952839
Jalen Johnson,2022-23,ATL,Stretch Big,1042,SF,21,0.86,-0.27,1.12,2.2,8659267
Zach LaVine,2022-23,CHI,Primary Ball Handler,2768,SG,28,0.82,1.37,-0.56,5.7,19947068
Jaylen Brown,2022-23,BOS,Secondary Ball Handler,2405,SF,26,0.81,0.91,-0.1,4.9,17505069
Tobias Harris,2022-23,PHI,Stationary Shooter,2436,PF,30,0.8,-0.07,0.87,5.0,17654844
O.G. Anunoby,2022-23,,Stationary Shooter,2386,SF,25,0.78,-0.51,1.28,4.9,17230471
Tyler Herro,2022-23,MIA,Primary Ball Handler,2336,SG,23,0.77,0.8,-0.03,4.8,16898258
Jamal Murray,2022-23,DEN,Primary Ball Handler,2133,PG,26,0.77,2.03,-1.26,4.3,15564543
Jock Landale,2022-23,PHO,Post Scorer,979,C,27,0.74,0.1,0.64,2.0,8006762
Kevin Love,2022-23,CLE,Stretch Big,1240,PF,34,0.73,0.37,0.36,2.5,9663359
Harrison Barnes,2022-23,SAC,Stationary Shooter,2662,PF,30,0.71,1.18,-0.47,5.3,18671345
Jusuf Nurkic,2022-23,POR,Post Scorer,1391,C,28,0.68,-1.2,1.88,2.7,10484634
Kris Dunn,2022-23,UTA,Slasher,568,PG,29,0.65,0.67,-0.02,1.1,5260464
Tari Eason,2022-23,HOU,Athletic Finisher,1767,PF,21,0.6,-0.26,0.86,3.4,12581981
Chimezie Metu,2022-23,SAC,Roll + Cut Big,689,C,26,0.59,-0.38,0.97,1.3,5933065
Boban Marjanovic,2022-23,HOU,Post Scorer,171,C,34,0.58,0.22,0.37,0.3,2764237
Mike Conley,2022-23,UTA,Primary Ball Handler,2028,PG,35,0.57,1.08,-0.51,3.9,14066853
Cedi Osman,2022-23,CLE,Stationary Shooter,1548,SF,28,0.57,0.71,-0.15,2.9,11129441
Christian Wood,2022-23,DAL,Shot Creator,1738,C,27,0.54,0.83,-0.29,3.3,12197999
Jordan Goodwin,2022-23,WAS,Secondary Ball Handler,1105,PG,24,0.54,-0.18,0.72,2.1,8380918
Brandon Ingram,2022-23,NOP,Shot Creator,1538,SF,25,0.53,1.19,-0.66,2.9,10958522
Herbert Jones,2022-23,NOP,Athletic Finisher,1951,SF,24,0.53,-0.75,1.28,3.7,13427881
Ivica Zubac,2022-23,LAC,Post Scorer,2170,C,26,0.52,-1.56,2.07,4.1,14679657
Charles Bassey,2022-23,SAS,Roll + Cut Big,508,C,22,0.52,-1.06,1.57,1.0,4752757
Josh Okogie,2022-23,PHO,Stationary Shooter,1351,SG,24,0.5,-0.12,0.63,2.5,9754729
Klay Thompson,2022-23,GSW,Off Screen Shooter,2279,SG,33,0.5,1.39,-0.88,4.2,15268600
Malcolm Brogdon,2022-23,BOS,Primary Ball Handler,1744,PG,30,0.48,0.61,-0.12,3.2,12019814
Mike Muscala,2022-23,BOS,Stretch Big,945,C,31,0.45,0.03,0.42,1.7,7232010
Moritz Wagner,2022-23,ORL,Stretch Big,1109,C,25,0.45,0.22,0.22,2.0,8186939
Darius Days,2022-23,HOU,Low Minute,25,PF,23,0.43,0.1,0.33,0.0,1864054
Alec Burks,2022-23,DET,Secondary Ball Handler,1122,SG,31,0.43,1.3,-0.88,2.0,8219613
Jose Alvarado,2022-23,NOP,Movement Shooter,1310,PG,24,0.41,0.07,0.35,2.4,9274320
Orlando Robinson,2022-23,MIA,Roll + Cut Big,425,C,22,0.4,-1.18,1.58,0.8,4157726
Kelly Olynyk,2022-23,UTA,Movement Shooter,1942,C,31,0.39,-0.03,0.42,3.5,12836272
Willy Hernangomez,2022-23,NOP,Roll + Cut Big,458,C,28,0.39,0.08,0.31,0.8,4331276
Andrew Wiggins,2022-23,GSW,Athletic Finisher,1190,SF,28,0.37,-0.37,0.74,2.1,8471269
Mikal Bridges,2022-23,PHO,Secondary Ball Handler,2963,SF,26,0.34,0.3,0.04,5.2,18382166
Austin Reaves,2022-23,LAL,Secondary Ball Handler,1843,SG,24,0.34,1.05,-0.71,3.2,12056635
Trevor Hudgins,2022-23,HOU,Low Minute,28,PG,24,0.33,0.02,0.32,0.0,1877745
Dwight Powell,2022-23,DAL,Roll + Cut Big,1458,C,31,0.31,-0.46,0.78,2.5,9824027
Al Horford,2022-23,BOS,Stationary Shooter,1921,C,36,0.31,-0.66,0.97,3.3,12375338
Buddy Hield,2022-23,IND,Movement Shooter,2482,SF,30,0.3,0.89,-0.59,4.3,15442000
Luguentz Dort,2022-23,OKC,Stationary Shooter,2272,SG,23,0.29,0.13,0.16,3.9,14245430
Santi Aldama,2022-23,MEM,Athletic Finisher,1682,PF,22,0.29,-0.62,0.91,2.9,10986388
Shaquille Harrison,2022-23,POR,Secondary Ball Handler,120,SG,29,0.29,0.11,0.18,0.2,2379665
Cade Cunningham,2022-23,DET,Slasher,400,PG,21,0.28,0.51,-0.23,0.7,3917612
Jonathan Isaac,2022-23,ORL,Roll + Cut Big,124,PF,25,0.28,-0.44,0.72,0.2,2399553
Nicolas Batum,2022-23,LAC,Stationary Shooter,1709,PF,34,0.27,-0.86,1.13,2.9,11061368
Cole Anthony,2022-23,ORL,Primary Ball Handler,1552,PG,22,0.24,1.01,-0.76,2.6,10130871
Kentavious Caldwell-Pope,2022-23,DEN,Stationary Shooter,2381,SG,30,0.24,-0.6,0.84,4.0,14609648
Ben Simmons,2022-23,BRK,Roll + Cut Big,1105,PG,26,0.22,-1.48,1.7,1.9,7642901
Hamidou Diallo,2022-23,DET,Athletic Finisher,996,SG,24,0.2,-0.84,1.04,1.7,7022981
Mason Plumlee,2022-23,CHO,Roll + Cut Big,2053,C,33,0.19,-0.25,0.44,3.4,12637705
Bismack Biyombo,2022-23,PHO,Post Scorer,874,C,30,0.19,-2.69,2.88,1.5,6363243
Xavier Tillman,2022-23,,Roll + Cut Big,1180,PF,24,0.19,-1.0,1.18,2.0,7979389
Lindy Waters III,2022-23,OKC,Movement Shooter,531,SG,25,0.17,0.04,0.13,0.9,4516877
D'Angelo Russell,2022-23,MIN,Primary Ball Handler,2304,PG,27,0.16,0.65,-0.49,3.8,13798873
Wenyen Gabriel,2022-23,LAL,Roll + Cut Big,1024,PF,26,0.15,-0.83,0.99,1.7,7080509
Jonas Valanciunas,2022-23,NOP,Post Scorer,1968,C,30,0.15,-0.32,0.47,3.2,11992368
Tyus Jones,2022-23,MEM,Primary Ball Handler,1940,PG,26,0.13,0.98,-0.85,3.2,11781210
Tre Jones,2022-23,SAS,Slasher,1984,PG,23,0.12,0.72,-0.6,3.2,11982815
CJ McCollum,2022-23,NOP,Primary Ball Handler,2649,SG,31,0.12,1.69,-1.57,4.3,15418768
Javonte Green,2022-23,CHI,Stretch Big,480,SG,29,0.12,-1.48,1.6,0.8,4200786
Bobby Portis,2022-23,MIL,Versatile Big,1819,PF,28,0.11,-0.08,0.18,2.9,11063429
Coby White,2022-23,CHI,Stationary Shooter,1730,SG,23,0.1,0.83,-0.73,2.8,10586035
Talen Horton-Tucker,2022-23,UTA,Primary Ball Handler,1313,SG,22,0.08,0.35,-0.26,2.1,8405407
T.J. McConnell,2022-23,IND,Slasher,1526,PG,31,0.08,0.1,-0.02,2.4,9484260
Daniel Gafford,2022-23,WAS,Roll + Cut Big,1604,C,24,0.08,-0.72,0.79,2.6,9864936
Dejounte Murray,2022-23,ATL,Shot Creator,2693,SG,26,0.05,0.64,-0.58,4.2,15277119
Robert Covington,2022-23,LAC,Athletic Finisher,779,PF,32,0.05,-0.8,0.85,1.2,5630547
Skylar Mays,2022-23,POR,Secondary Ball Handler,189,SG,25,0.02,0.32,-0.3,0.3,2654185
Luka Garza,2022-23,MIN,Stretch Big,243,C,24,0.0,1.4,-1.4,0.4,2915596
Tyrese Maxey,2022-23,PHI,Primary Ball Handler,2016,SG,22,-0.01,1.36,-1.37,3.1,11585429
Cody Zeller,2022-23,MIA,Roll + Cut Big,217,C,30,-1.0,-0.98,-0.02,0.2,2345572
Jordan McLaughlin,2022-23,MIN,Secondary Ball Handler,678,PG,27,-0.02,-0.28,0.25,1.0,5024605
Onyeka Okongwu,2022-23,ATL,Roll + Cut Big,1849,C,22,-0.04,-1.2,1.16,2.8,10682094
TyTy Washington Jr.,2022-23,HOU,Secondary Ball Handler,433,PG,21,-0.05,-0.51,0.46,0.7,3805846
Stanley Umude,2022-23,DET,Low Minute,2,SG,24,-0.05,-0.04,-0.01,0.0,1729201
Jay Huff,2022-23,WAS,Low Minute,95,C,25,-0.06,-0.14,0.08,0.1,2175260
Dillon Brooks,2022-23,MEM,Secondary Ball Handler,2214,SF,27,-0.06,-0.96,0.9,3.3,12359429
Terence Davis,2022-23,SAC,Movement Shooter,841,SG,25,-0.06,-0.3,0.24,1.3,5753979
Terry Rozier,2022-23,CHO,Primary Ball Handler,2221,SG,29,-0.06,1.51,-1.58,3.3,12358955
Alize Johnson,2022-23,SAS,Low Minute,30,PF,26,-0.09,-0.37,0.28,0.0,1859120
Russell Westbrook,2022-23,LAL,Shot Creator,2126,PG,34,-0.09,0.75,-0.84,3.2,11806200
Mo Bamba,2022-23,LAL,Stretch Big,768,C,24,-0.09,-0.5,0.41,1.1,5362215
Brandon Clarke,2022-23,MEM,Roll + Cut Big,1090,PF,26,-0.09,-0.92,0.83,1.6,6878045
Mark Williams,2022-23,CHO,Roll + Cut Big,828,C,21,-0.1,-1.35,1.25,1.2,5631534
Jalen Smith,2022-23,IND,Stretch Big,1279,PF,23,-0.1,-0.12,0.02,1.9,7744145
Christian Koloko,2022-23,TOR,Roll + Cut Big,802,C,22,-0.11,-2.19,2.07,1.2,5481591
Luka Samanic,2022-23,UTA,Stationary Shooter,161,PF,23,-0.11,-0.31,0.2,0.2,2473215
Obi Toppin,2022-23,NYK,Stationary Shooter,1050,PF,25,-0.13,0.01,-0.15,1.5,6608315
Trey Lyles,2022-23,SAC,Movement Shooter,1247,PF,27,-0.14,-0.12,-0.01,1.8,7511981
Tyler Dorsey,2022-23,DAL,Low Minute,8,SG,27,-0.15,0.13,-0.28,0.0,1757142
Kemba Walker,2022-23,DAL,Secondary Ball Handler,144,PG,32,-0.16,0.58,-0.74,0.2,2379611
Facundo Campazzo,2022-23,DAL,Low Minute,52,PG,32,-0.17,-0.14,-0.03,0.1,1958004
Lester Quinones,2022-23,GSW,Low Minute,18,SG,22,-0.17,-0.09,-0.08,0.0,1801864
Gary Payton II,2022-23,GSW,Stretch Big,368,PG,30,-0.18,-0.3,0.13,0.5,3396139
Dalen Terry,2022-23,CHI,Stationary Shooter,214,SG,20,-0.18,-0.4,0.22,0.3,2693382
Michael Porter Jr.,2022-23,DEN,Movement Shooter,1798,SF,24,-0.18,1.05,-1.23,2.6,9908296
