Player,Season,Team,Offensive Archetype,Minutes,Pos,Age,SPI,O-SPI,D-SPI,WAR,Value Added
Bojan Bogdanovic,2022-23,DET,Off Screen Shooter,1893,PF,33,-0.18,1.17,-1.35,2.7,10340338
Quentin Grimes,2022-23,NYK,Movement Shooter,2121,SG,22,-0.19,-0.28,0.09,3.0,11341570
Jarrell Brantley,2022-23,UTA,Low Minute,39,PF,26,-0.21,-0.08,-0.12,0.1,1894428
Dorian Finney-Smith,2022-23,BRK,Stationary Shooter,2009,PF,29,-0.21,-0.73,0.52,2.8,10749760
Matisse Thybulle,2022-23,PHI,Athletic Finisher,1200,SG,26,-0.21,-2.25,2.04,1.7,7109804
Jae Crowder,2022-23,MIL,Movement Shooter,340,SF,32,-0.22,-0.56,0.34,0.5,3237125
Jalen McDaniels,2022-23,PHI,Stationary Shooter,1913,SF,25,-0.22,-0.57,0.34,2.7,10258374
Tim Hardaway Jr.,2022-23,DAL,Stationary Shooter,2152,SG,31,-0.23,0.43,-0.65,3.0,11326232
Braxton Key,2022-23,DET,Low Minute,9,SF,26,-0.23,-0.14,-0.09,0.0,1759563
Dennis Smith Jr.,2022-23,CHO,Slasher,1390,PG,25,-0.23,-1.87,1.64,1.9,7907772
Chris Silva,2022-23,DAL,Low Minute,3,PF,26,-0.24,0.1,-0.34,0.0,1732368
Xavier Moon,2022-23,LAC,Low Minute,20,SG,28,-0.25,-0.13,-0.11,0.0,1805464
Jaylen Nowell,2022-23,MIN,Secondary Ball Handler,1252,SG,23,-0.27,0.92,-1.19,1.7,7195419
Jay Scrubb,2022-23,ORL,Low Minute,30,SG,22,-0.29,-0.32,0.03,0.0,1849397
Isaiah Joe,2022-23,OKC,Movement Shooter,1395,SG,23,-0.29,0.48,-0.77,1.9,7754516
Drew Eubanks,2022-23,POR,Roll + Cut Big,1584,C,26,-0.29,-1.2,0.9,2.1,8565305
Frank Jackson,2022-23,UTA,Low Minute,5,PG,24,-0.29,-0.03,-0.26,0.0,1740824
Michael Carter-Williams,2022-23,ORL,Low Minute,44,PG,31,-0.3,-0.21,-0.09,0.1,1910725
Kyle Kuzma,2022-23,WAS,Secondary Ball Handler,2239,PF,27,-0.32,-0.47,0.15,3.0,11270227
Omer Yurtseven,2022-23,MIA,Low Minute,83,C,24,-0.33,-0.48,0.15,0.1,2073163
Deonte Burton,2022-23,SAC,Low Minute,6,SG,29,-0.33,-0.19,-0.14,0.0,1746555
Derrick Jones Jr.,2022-23,CHI,Stretch Big,893,SF,26,-0.34,-0.5,0.17,1.2,5506692
Cole Swider,2022-23,LAL,Low Minute,41,SF,23,-0.34,-0.24,-0.09,0.1,1893170
Trevelin Queen,2022-23,IND,Low Minute,70,SG,26,-0.35,-0.24,-0.11,0.1,2013929
Alex Len,2022-23,SAC,Roll + Cut Big,161,C,29,-0.35,-1.31,0.96,0.2,2397543
Jordan Schakel,2022-23,WAS,Low Minute,6,SF,24,-0.35,-0.12,-0.23,0.0,1745213
Blake Griffin,2022-23,BOS,Stretch Big,569,C,34,-0.38,-1.1,0.72,0.7,4075752
Carlik Jones,2022-23,CHI,Low Minute,56,PG,25,-0.39,-0.14,-0.25,0.1,1950293
Sterling Brown,2022-23,LAL,Low Minute,24,SG,28,-0.39,-0.32,-0.07,0.0,1819506
Jason Preston,2022-23,LAC,Secondary Ball Handler,124,PG,23,-0.39,-0.1,-0.29,0.2,2228839
Cameron Payne,2022-23,PHO,Primary Ball Handler,968,PG,28,-0.41,0.29,-0.7,1.2,5681459
Jaden McDaniels,2022-23,MIN,Stationary Shooter,2416,SF,22,-0.41,-1.63,1.22,3.1,11600959
Marko Simonovic,2022-23,CHI,Low Minute,20,C,23,-0.41,-0.12,-0.29,0.0,1799056
Josh Minott,2022-23,MIN,Low Minute,96,SF,20,-0.42,-0.25,-0.16,0.1,2110955
Donovan Williams,2022-23,ATL,Low Minute,4,SG,21,-0.42,-0.15,-0.27,0.0,1736288
Jalen Suggs,2022-23,ORL,Secondary Ball Handler,1246,PG,21,-0.42,-0.87,0.45,1.6,6777587
John Collins,2022-23,ATL,Versatile Big,2130,PF,25,-0.42,-0.74,0.31,2.7,10363167
Bogdan Bogdanovic,2022-23,ATL,Secondary Ball Handler,1509,SG,30,-0.43,1.37,-1.8,1.9,7834721
Greg Brown III,2022-23,POR,Low Minute,93,PF,21,-0.43,-0.81,0.38,0.1,2095533
Chima Moneke,2022-23,SAC,Low Minute,8,SF,27,-0.44,-0.22,-0.22,0.0,1750901
Jordan Hall,2022-23,SAS,Low Minute,83,SF,21,-0.44,-0.64,0.2,0.1,2050996
Devon Dotson,2022-23,WAS,Low Minute,53,PG,23,-0.45,-0.41,-0.04,0.1,1932226
Grayson Allen,2022-23,MIL,Movement Shooter,1972,SG,27,-0.45,-1.32,0.87,2.5,9609941
Jerami Grant,2022-23,POR,Shot Creator,2246,PF,29,-0.45,-0.18,-0.28,2.8,10697636
Malcolm Hill,2022-23,CHI,Low Minute,9,SF,27,-0.46,-0.11,-0.36,0.0,1755299
Scotty Pippen Jr.,2022-23,LAL,Low Minute,32,PG,22,-0.46,-0.37,-0.09,0.0,1844455
Tony Bradley,2022-23,CHI,Low Minute,33,C,25,-0.47,-0.21,-0.26,0.0,1851018
Thomas Bryant,2022-23,DEN,Roll + Cut Big,1081,C,25,-0.47,-0.09,-0.38,1.3,5998521
Vernon Carey Jr.,2022-23,WAS,Low Minute,28,C,22,-0.48,-0.41,-0.06,0.0,1831598
Dalano Banton,2022-23,TOR,Secondary Ball Handler,279,PG,23,-0.48,-0.21,-0.27,0.3,2817754
Victor Oladipo,2022-23,MIA,Secondary Ball Handler,1106,SG,30,-0.48,-1.02,0.54,1.4,6073591
Dewayne Dedmon,2022-23,PHI,Roll + Cut Big,426,C,33,-0.49,-1.24,0.76,0.5,3392848
Jalen Williams,2022-23,OKC,Slasher,2276,SG,21,-0.49,-0.9,0.41,2.8,10632424
Deni Avdija,2022-23,WAS,Stationary Shooter,2020,SF,22,-0.51,-1.55,1.04,2.5,9566164
Donte DiVincenzo,2022-23,GSW,Movement Shooter,1894,SG,26,-0.52,-1.05,0.54,2.3,9047229
Kobi Simmons,2022-23,CHO,Low Minute,28,PG,25,-0.52,-0.44,-0.09,0.0,1826193
Kenrich Williams,2022-23,OKC,Stretch Big,1206,PF,28,-0.53,-0.14,-0.39,1.5,6364091
Frank Kaminsky,2022-23,ATL,Stretch Big,235,C,30,-0.54,-0.57,0.03,0.3,2617234
Saddiq Bey,2022-23,DET,Movement Shooter,2129,SF,24,-0.55,1.11,-1.66,2.5,9825507
Sandro Mamukelashvili,2022-23,MIL,Stretch Big,661,C,23,-0.55,0.2,-0.75,0.8,4234369
Gabe York,2022-23,IND,Low Minute,56,SG,29,-0.55,-0.12,-0.43,0.1,1931037
Leandro Bolmaro,2022-23,UTA,Low Minute,68,SG,22,-0.56,-0.44,-0.12,0.1,1978016
Micah Potter,2022-23,UTA,Low Minute,52,PF,25,-0.56,-0.38,-0.18,0.1,1917037
De'Anthony Melton,2022-23,PHI,Stationary Shooter,2150,PG,24,-0.57,-0.95,0.38,2.5,9807239
Malik Monk,2022-23,SAC,Secondary Ball Handler,1719,SG,25,-0.58,0.49,-1.06,2.0,8165098
James Johnson,2022-23,IND,Secondary Ball Handler,162,PF,36,-0.58,-1.09,0.51,0.2,2327478
Gary Trent Jr.,2022-23,TOR,Secondary Ball Handler,2118,SG,24,-0.58,-0.44,-0.14,2.5,9652707
Kessler Edwards,2022-23,BRK,Athletic Finisher,386,SF,22,-0.58,-0.6,0.02,0.5,3162150
Miles McBride,2022-23,NYK,Stationary Shooter,760,PG,22,-0.58,-0.66,0.08,0.9,4561665
Paolo Banchero,2022-23,ORL,Shot Creator,2430,PF,20,-0.58,-0.29,-0.29,2.8,10786106
Keon Ellis,2022-23,SAC,Low Minute,71,SG,23,-0.59,-0.49,-0.1,0.1,1983077
Svi Mykhailiuk,2022-23,NYK,Movement Shooter,468,SF,25,-0.59,0.08,-0.67,0.5,3460767
Chance Comanche,2022-23,,Low Minute,21,,26,-0.59,-0.3,-0.29,0.0,1796190
Neemias Queta,2022-23,SAC,Low Minute,29,C,23,-0.6,-0.45,-0.15,0.0,1825365
Isaiah Jackson,2022-23,IND,Roll + Cut Big,1042,C,21,-0.61,-1.44,0.82,1.2,5547154
Saben Lee,2022-23,PHI,Slasher,374,PG,23,-0.62,-0.65,0.03,0.4,3084698
Dereon Seabron,2022-23,NOP,Low Minute,12,SG,22,-0.63,-0.22,-0.41,0.0,1761203
Trevor Keels,2022-23,NYK,Low Minute,8,SG,19,-0.64,-0.39,-0.25,0.0,1748154
Caris LeVert,2022-23,CLE,Secondary Ball Handler,2237,SG,28,-0.64,-0.74,0.1,2.5,9836404
Naz Reid,2022-23,MIN,Stretch Big,1251,C,23,-0.64,-0.59,-0.05,1.4,6243577
Grant Williams,2022-23,BOS,Stationary Shooter,2045,PF,24,-0.65,-1.47,0.83,2.3,9091354
Nick Richards,2022-23,CHO,Roll + Cut Big,1218,C,25,-0.65,-0.9,0.25,1.4,6095340
Patrick Baldwin Jr.,2022-23,GSW,Movement Shooter,226,SF,20,-0.65,-0.52,-0.13,0.3,2530614
Lindell Wigginton,2022-23,MIL,Low Minute,87,PG,25,-0.66,-0.33,-0.33,0.1,2029582
Daniel Theis,2022-23,IND,Roll + Cut Big,109,C,31,-0.66,-0.51,-0.15,0.1,2109021
Bruce Brown,2022-23,DEN,Stationary Shooter,2280,SG,26,-0.66,-0.81,0.14,2.5,9853778
Jaylin Williams,2022-23,OKC,Stretch Big,914,PF,20,-0.67,-1.6,0.94,1.0,4980472
Ron Harper Jr.,2022-23,TOR,Low Minute,48,SF,22,-0.67,-0.35,-0.32,0.1,1888302
Joshua Primo,2022-23,SAS,Low Minute,93,SG,20,-0.67,-0.74,0.07,0.1,2050256
PJ Dozier,2022-23,SAC,Low Minute,79,SG,26,-0.68,-0.53,-0.14,0.1,1999723
Xavier Cooks,2022-23,WAS,Roll + Cut Big,126,PF,27,-0.69,-0.82,0.13,0.1,2161235
Kevin Porter Jr.,2022-23,HOU,Shot Creator,2024,PG,22,-0.69,0.02,-0.71,2.2,8832992
Andre Iguodala,2022-23,GSW,Stretch Big,113,SF,39,-0.69,-0.88,0.19,0.1,2114721
Edmond Sumner,2022-23,BRK,Secondary Ball Handler,736,SG,27,-0.69,-0.65,-0.05,0.8,4302871
Mac McClung,2022-23,PHI,Low Minute,41,SG,24,-0.69,-0.24,-0.46,0.0,1863100
Devonte' Graham,2022-23,SAS,Secondary Ball Handler,1338,PG,28,-0.7,-0.18,-0.51,1.5,6411066
Theo Maledon,2022-23,CHO,Secondary Ball Handler,854,PG,21,-0.7,-0.26,-0.44,0.9,4704289
Landry Shamet,2022-23,PHO,Movement Shooter,807,SG,26,-0.71,-0.51,-0.19,0.9,4528408
Jamaree Bouyea,2022-23,MIA,Low Minute,71,PG,23,-0.71,-0.67,-0.04,0.1,1964285
Jevon Carter,2022-23,MIL,Stationary Shooter,1812,PG,27,-0.71,-1.59,0.88,2.0,8000135
Dru Smith,2022-23,MIA,Secondary Ball Handler,158,SG,25,-0.72,-0.55,-0.16,0.2,2267072
Aleksej Pokusevski,2022-23,OKC,Stretch Big,701,PF,21,-0.72,-1.67,0.95,0.8,4142879
Olivier Sarr,2022-23,OKC,Roll + Cut Big,114,C,24,-0.73,-0.58,-0.14,0.1,2110542
Jarrett Culver,2022-23,ATL,Athletic Finisher,137,SG,24,-0.73,-0.78,0.04,0.1,2189222
Sam Merrill,2022-23,CLE,Low Minute,59,SG,26,-0.73,-0.25,-0.48,0.1,1919915
Sam Hauser,2022-23,BOS,Movement Shooter,1290,PF,25,-0.73,-0.46,-0.27,1.4,6144523
Marcus Morris Sr.,2022-23,,Stationary Shooter,1825,PF,33,-0.73,-1.25,0.51,2.0,7974120
Keegan Murray,2022-23,SAC,Movement Shooter,2382,SF,22,-0.74,-0.6,-0.14,2.5,9858794
JaVale McGee,2022-23,DAL,Roll + Cut Big,355,C,35,-0.74,-1.65,0.9,0.4,2926800
Markelle Fultz,2022-23,ORL,Slasher,1778,PG,24,-0.75,-0.9,0.16,1.9,7766271
P.J. Washington,2022-23,CHO,Stationary Shooter,2380,PF,24,-0.76,-1.02,0.27,2.5,9771356
Jeremiah Robinson-Earl,2022-23,OKC,Stretch Big,814,PF,22,-0.76,-0.63,-0.13,0.9,4467264
Kenneth Lofton Jr.,2022-23,MEM,Roll + Cut Big,176,PF,20,-0.76,0.22,-0.98,0.2,2311998
Deandre Ayton,2022-23,PHO,Post Scorer,2036,C,24,-0.76,-1.29,0.52,2.1,8570250
Isaiah Stewart,2022-23,DET,Stretch Big,1414,C,21,-0.77,-1.56,0.8,1.5,6469759
Garrison Mathews,2022-23,HOU,Movement Shooter,686,SG,26,-0.77,-1.05,0.28,0.7,4023782
Dylan Windler,2022-23,CLE,Low Minute,10,SF,26,-0.77,-0.22,-0.55,0.0,1753859
Jamal Cain,2022-23,MIA,Stretch Big,240,SF,24,-0.77,-1.12,0.35,0.3,2523961
Buddy Boeheim,2022-23,DET,Low Minute,90,PG,23,-0.78,-0.3,-0.47,0.1,2020395
Montrezl Harrell,2022-23,PHI,Post Scorer,681,C,29,-0.78,-0.61,-0.17,0.7,3988529
Marvin Bagley III,2022-23,DET,Post Scorer,990,C,24,-0.8,-0.81,0.01,1.0,4974243
Kendall Brown,2022-23,IND,Low Minute,40,SG,19,-0.82,-0.56,-0.26,0.0,1850424
Xavier Sneed,2022-23,CHO,Low Minute,48,SF,25,-0.82,-0.71,-0.11,0.0,1876239
Dennis Schroder,2022-23,LAL,Primary Ball Handler,1986,PG,29,-0.83,-0.26,-0.57,2.0,8130981
Isaiah Mobley,2022-23,CLE,Low Minute,84,PF,23,-0.84,-0.59,-0.25,0.1,1989809
Oshae Brissett,2022-23,IND,Athletic Finisher,1083,SF,24,-0.84,-0.29,-0.55,1.1,5189443
Udonis Haslem,2022-23,MIA,Low Minute,72,C,42,-0.84,-0.85,0.01,0.1,1950130
Isaiah Todd,2022-23,WAS,Low Minute,61,PF,21,-0.84,-0.63,-0.22,0.1,1915688
Tyrese Martin,2022-23,ATL,Low Minute,66,SG,24,-0.85,-0.39,-0.46,0.1,1927540
Ricky Rubio,2022-23,CLE,Secondary Ball Handler,566,PG,32,-0.86,-0.87,0.01,0.6,3516096
Duncan Robinson,2022-23,MIA,Movement Shooter,690,SF,28,-0.86,-0.12,-0.75,0.7,3901872
Royce O'Neale,2022-23,BRK,Stationary Shooter,2409,SF,29,-0.87,-1.3,0.44,2.4,9331201
Terance Mann,2022-23,LAC,Stationary Shooter,1872,SG,26,-0.88,-0.06,-0.81,1.8,7590039
Justin Champagnie,2022-23,BOS,Low Minute,34,SF,21,-0.88,-0.23,-0.65,0.0,1826247
Kira Lewis Jr.,2022-23,NOP,Secondary Ball Handler,235,PG,22,-0.88,-0.37,-0.51,0.2,2452727
Nickeil Alexander-Walker,2022-23,MIN,Secondary Ball Handler,884,SG,24,-0.89,-0.84,-0.05,0.9,4473312
Justin Minaya,2022-23,POR,Low Minute,89,SF,24,-0.89,-0.74,-0.15,0.1,1994771
Quenton Jackson,2022-23,WAS,Slasher,135,PG,24,-0.89,-0.66,-0.23,0.1,2136374
Anthony Gill,2022-23,WAS,Athletic Finisher,625,PF,30,-0.9,-0.75,-0.15,0.6,3649642
Aaron Holiday,2022-23,ATL,Secondary Ball Handler,845,PG,26,-0.91,-1.32,0.42,0.8,4317518
Ish Wainright,2022-23,PHO,Stationary Shooter,915,SF,28,-0.91,-1.01,0.1,0.9,4524573
Michael Foster Jr.,2022-23,PHI,Low Minute,1,PF,20,-0.94,-0.3,-0.64,0.0,1722108
Jacob Gilyard,2022-23,MEM,Low Minute,41,PG,24,-0.94,-0.49,-0.46,0.0,1841496
Gorgui Dieng,2022-23,SAS,Stretch Big,358,C,33,-0.94,-1.24,0.3,0.3,2794068
Naji Marshall,2022-23,NOP,Stationary Shooter,1792,SF,25,-0.96,-0.34,-0.62,1.7,7048601
RaiQuan Gray,2022-23,BRK,Low Minute,35,PF,23,-0.97,-0.28,-0.68,0.0,1822760
Jaden Springer,2022-23,PHI,Low Minute,89,SG,20,-0.97,-0.51,-0.46,0.1,1982559
Nikola Jovic,2022-23,MIA,Stretch Big,204,PF,19,-0.97,-0.84,-0.13,0.2,2321670
Jack White,2022-23,DEN,Low Minute,66,SF,25,-0.97,-0.61,-0.36,0.1,1913368
Alondes Williams,2022-23,BRK,Low Minute,5,SG,23,-0.98,-0.25,-0.73,0.0,1734422
Bones Hyland,2022-23,DEN,Secondary Ball Handler,1086,PG,22,-0.99,0.86,-1.85,1.0,4870433
Udoka Azubuike,2022-23,UTA,Roll + Cut Big,359,C,23,-0.99,-2.21,1.21,0.3,2758579
Anfernee Simons,2022-23,POR,Primary Ball Handler,2171,SG,23,-1.01,0.4,-1.4,2.0,7962339
Bol Bol,2022-23,ORL,Athletic Finisher,1505,PF,23,-1.01,-2.17,1.16,1.4,6033264
Louis King,2022-23,PHI,Low Minute,29,SF,24,-1.02,-0.32,-0.7,0.0,1801241
Caleb Martin,2022-23,MIA,Movement Shooter,2078,PF,27,-1.02,-1.56,0.54,1.9,7646503
A.J. Lawson,2022-23,DAL,Athletic Finisher,108,SG,22,-1.03,-0.24,-0.79,0.1,2025244
Nerlens Noel,2022-23,BRK,Roll + Cut Big,195,C,29,-1.03,-1.76,0.73,0.2,2267996
Ty Jerome,2022-23,GSW,Secondary Ball Handler,816,SG,25,-1.03,-0.4,-0.63,0.7,4018189
Zach Collins,2022-23,SAS,Post Scorer,1441,C,25,-1.03,-1.12,0.08,1.3,5776463
Ryan Arcidiacono,2022-23,POR,Secondary Ball Handler,172,PG,29,-1.04,-1.36,0.32,0.2,2201654
Jalen Green,2022-23,HOU,Primary Ball Handler,2602,SG,21,-1.05,0.76,-1.8,2.3,8980644
Keita Bates-Diop,2022-23,SAS,Stretch Big,1452,SF,27,-1.05,-0.81,-0.24,1.3,5769091
Keldon Johnson,2022-23,SAS,Secondary Ball Handler,2063,SF,23,-1.05,0.46,-1.51,1.8,7467126
Dario Saric,2022-23,PHO,Stretch Big,806,PF,29,-1.05,-0.84,-0.21,0.7,3963840
Jeremy Sochan,2022-23,SAS,Athletic Finisher,1458,PF,19,-1.05,-1.15,0.1,1.3,5776890
Rudy Gay,2022-23,UTA,Stationary Shooter,816,PF,36,-1.05,-1.41,0.36,0.7,3985659
Jeenathan Williams,2022-23,POR,Athletic Finisher,127,SG,24,-1.06,-0.49,-0.56,0.1,2069795
Precious Achiuwa,2022-23,TOR,Athletic Finisher,1140,C,23,-1.06,-0.65,-0.41,1.0,4875483
Mfiondu Kabengele,2022-23,BOS,Low Minute,36,PF,25,-1.07,-0.51,-0.56,0.0,1818988
Day'Ron Sharpe,2022-23,BRK,Roll + Cut Big,553,C,21,-1.08,-0.71,-0.37,0.5,3219577
George Hill,2022-23,MIL,Secondary Ball Handler,833,PG,36,-1.09,-1.16,0.07,0.7,3965632
Trey Murphy III,2022-23,NOP,Stationary Shooter,2448,SF,22,-1.1,-0.85,-0.25,2.1,8280467
Ochai Agbaji,2022-23,UTA,Movement Shooter,1209,SG,22,-1.11,0.37,-1.48,1.0,4944202
Ryan Rollins,2022-23,GSW,Low Minute,62,PG,20,-1.11,-0.81,-0.3,0.1,1884442
Joe Wieskamp,2022-23,TOR,Low Minute,50,SF,23,-1.12,-0.89,-0.23,0.0,1849798
Jordan Clarkson,2022-23,UTA,Secondary Ball Handler,1988,SG,30,-1.13,1.08,-2.21,1.6,6951259
Darius Bazley,2022-23,OKC,Athletic Finisher,616,PF,22,-1.13,-2.0,0.87,0.5,3336285
JD Davison,2022-23,BOS,Low Minute,66,PG,20,-1.13,-0.54,-0.59,0.1,1890841
Joe Ingles,2022-23,MIL,Secondary Ball Handler,1044,SF,35,-1.15,-0.75,-0.39,0.8,4424584
Terry Taylor,2022-23,CHI,Athletic Finisher,263,PF,23,-1.16,-0.73,-0.43,0.2,2393880
Josh Giddey,2022-23,OKC,Slasher,2367,SG,20,-1.17,-0.55,-0.62,1.9,7751901
